image_path,mask_path,split,px_class0,px_class1,px_class2,px_class3,px_class4,px_class5,px_class6,px_class7
..\data\leftImg8bit\train\aachen\aachen_000041_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000041_000019_gtFine_labelIds.png,train,155423,781150,343364,25220,497861,6726,43171,244237
..\data\leftImg8bit\train\aachen\aachen_000042_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000042_000019_gtFine_labelIds.png,train,146334,890912,569444,39099,291201,10419,61177,88566
..\data\leftImg8bit\train\aachen\aachen_000043_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000043_000019_gtFine_labelIds.png,train,185490,718945,502174,9786,218958,11622,0,450177
..\data\leftImg8bit\train\aachen\aachen_000044_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000044_000019_gtFine_labelIds.png,train,192004,713380,171007,17968,705099,12164,0,285530
..\data\leftImg8bit\train\aachen\aachen_000045_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000045_000019_gtFine_labelIds.png,train,144627,683165,278844,85214,665053,18741,14711,206797
..\data\leftImg8bit\train\aachen\aachen_000046_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000046_000019_gtFine_labelIds.png,train,174038,887153,251642,52707,474418,0,51999,205195
..\data\leftImg8bit\train\aachen\aachen_000047_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000047_000019_gtFine_labelIds.png,train,137885,973224,256378,11893,617576,2189,11976,86031
..\data\leftImg8bit\train\aachen\aachen_000048_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000048_000019_gtFine_labelIds.png,train,302309,819300,353949,108286,385915,23409,45604,58380
..\data\leftImg8bit\train\aachen\aachen_000049_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000049_000019_gtFine_labelIds.png,train,246376,648728,489192,6426,237548,16665,11184,441033
..\data\leftImg8bit\train\aachen\aachen_000050_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000050_000019_gtFine_labelIds.png,train,186176,783493,657817,19442,101499,20835,4911,322979
..\data\leftImg8bit\train\aachen\aachen_000051_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000051_000019_gtFine_labelIds.png,train,166509,957534,625438,44459,82621,70786,10145,139660
..\data\leftImg8bit\train\aachen\aachen_000052_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000052_000019_gtFine_labelIds.png,train,149595,839871,150591,37325,506897,212028,4481,196364
..\data\leftImg8bit\train\aachen\aachen_000053_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000053_000019_gtFine_labelIds.png,train,137214,766855,118632,91121,807526,150231,2850,22723
..\data\leftImg8bit\train\aachen\aachen_000054_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000054_000019_gtFine_labelIds.png,train,133088,961901,195397,19805,539361,123245,3107,121248
..\data\leftImg8bit\train\aachen\aachen_000055_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000055_000019_gtFine_labelIds.png,train,139370,920758,16664,10748,750455,226708,8213,24236
..\data\leftImg8bit\train\aachen\aachen_000056_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000056_000019_gtFine_labelIds.png,train,120641,929024,246902,16942,378124,393125,324,12070
..\data\leftImg8bit\train\aachen\aachen_000057_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000057_000019_gtFine_labelIds.png,train,172499,830784,165404,11836,811152,975,2399,102103
..\data\leftImg8bit\train\aachen\aachen_000058_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000058_000019_gtFine_labelIds.png,train,132699,899353,196546,19777,532897,91002,360,224518
..\data\leftImg8bit\train\aachen\aachen_000059_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000059_000019_gtFine_labelIds.png,train,135724,1012374,715447,16404,125652,46312,2557,42682
..\data\leftImg8bit\train\aachen\aachen_000060_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000060_000019_gtFine_labelIds.png,train,277639,685441,424761,48765,545221,261,0,115064
..\data\leftImg8bit\train\aachen\aachen_000061_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000061_000019_gtFine_labelIds.png,train,121628,839873,209718,65385,552744,47251,0,260553
..\data\leftImg8bit\train\aachen\aachen_000062_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000062_000019_gtFine_labelIds.png,train,180134,760966,487681,36798,221336,144639,1218,264380
..\data\leftImg8bit\train\aachen\aachen_000063_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000063_000019_gtFine_labelIds.png,train,126314,945149,594910,27380,271534,81821,2540,47504
..\data\leftImg8bit\train\aachen\aachen_000064_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000064_000019_gtFine_labelIds.png,train,136783,942320,621594,104952,161489,62026,19419,48569
..\data\leftImg8bit\train\aachen\aachen_000065_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000065_000019_gtFine_labelIds.png,train,136212,958295,492231,54095,306718,80308,42069,27224
..\data\leftImg8bit\train\aachen\aachen_000066_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000066_000019_gtFine_labelIds.png,train,166450,775969,551774,18541,217575,55487,5224,306132
..\data\leftImg8bit\train\aachen\aachen_000067_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000067_000019_gtFine_labelIds.png,train,230575,879162,528490,39310,185139,51458,374,182644
..\data\leftImg8bit\train\aachen\aachen_000068_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000068_000019_gtFine_labelIds.png,train,127040,1010454,244630,46378,601016,44941,1153,21540
..\data\leftImg8bit\train\aachen\aachen_000069_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000069_000019_gtFine_labelIds.png,train,133851,962685,386117,18892,521473,2519,3468,68147
..\data\leftImg8bit\train\aachen\aachen_000070_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000070_000019_gtFine_labelIds.png,train,132924,982396,501188,21044,169741,159066,16346,114447
..\data\leftImg8bit\train\aachen\aachen_000071_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000071_000019_gtFine_labelIds.png,train,145381,950597,321034,47513,331029,138146,27656,135796
..\data\leftImg8bit\train\aachen\aachen_000072_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000072_000019_gtFine_labelIds.png,train,115978,940098,806367,46404,60891,95387,5808,26219
..\data\leftImg8bit\train\aachen\aachen_000073_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000073_000019_gtFine_labelIds.png,train,126205,962301,287661,44037,486974,149159,2474,38341
..\data\leftImg8bit\train\aachen\aachen_000074_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000074_000019_gtFine_labelIds.png,train,133751,1009022,520873,13365,311321,0,5075,103745
..\data\leftImg8bit\train\aachen\aachen_000075_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000075_000019_gtFine_labelIds.png,train,269860,928903,423172,27150,107301,292635,1966,46165
..\data\leftImg8bit\train\aachen\aachen_000076_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000076_000019_gtFine_labelIds.png,train,121826,884266,545370,37485,301097,81326,574,125208
..\data\leftImg8bit\train\aachen\aachen_000077_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000077_000019_gtFine_labelIds.png,train,117266,867938,802420,14721,26615,109681,24392,134119
..\data\leftImg8bit\train\aachen\aachen_000078_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000078_000019_gtFine_labelIds.png,train,150639,877645,708459,52006,10112,99091,0,199200
..\data\leftImg8bit\train\aachen\aachen_000079_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000079_000019_gtFine_labelIds.png,train,135206,823437,890377,26970,0,81821,0,139341
..\data\leftImg8bit\train\aachen\aachen_000080_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000080_000019_gtFine_labelIds.png,train,144926,766795,907203,35680,63627,140051,10631,28239
..\data\leftImg8bit\train\aachen\aachen_000081_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000081_000019_gtFine_labelIds.png,train,224446,719887,381445,20593,405232,0,5990,339559
..\data\leftImg8bit\train\aachen\aachen_000082_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000082_000019_gtFine_labelIds.png,train,115604,963794,938059,7927,45596,0,18810,7362
..\data\leftImg8bit\train\aachen\aachen_000083_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000083_000019_gtFine_labelIds.png,train,233478,611599,240678,13386,475643,11394,1069,509905
..\data\leftImg8bit\train\aachen\aachen_000084_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000084_000019_gtFine_labelIds.png,train,355656,656830,282008,66821,393420,2798,13345,326274
..\data\leftImg8bit\train\aachen\aachen_000085_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000085_000019_gtFine_labelIds.png,train,170922,897619,743565,18971,48644,34574,2945,179912
..\data\leftImg8bit\train\aachen\aachen_000086_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000086_000019_gtFine_labelIds.png,train,159554,976443,539232,56374,223200,41739,16234,84376
..\data\leftImg8bit\train\aachen\aachen_000087_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000087_000019_gtFine_labelIds.png,train,141282,836177,751683,41462,202583,51164,35046,37755
..\data\leftImg8bit\train\aachen\aachen_000088_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000088_000019_gtFine_labelIds.png,train,173606,811397,609469,58757,291122,8344,1482,142975
..\data\leftImg8bit\train\aachen\aachen_000089_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000089_000019_gtFine_labelIds.png,train,248204,595089,538744,46759,240388,7465,12315,408188
..\data\leftImg8bit\train\aachen\aachen_000090_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000090_000019_gtFine_labelIds.png,train,443712,667209,725709,72087,89167,0,95153,4115
..\data\leftImg8bit\train\aachen\aachen_000091_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000091_000019_gtFine_labelIds.png,train,115664,535217,506097,3643,225688,29275,65365,616203
..\data\leftImg8bit\train\aachen\aachen_000092_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000092_000019_gtFine_labelIds.png,train,130169,832650,314962,45127,580336,38304,10547,145057
..\data\leftImg8bit\train\aachen\aachen_000093_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000093_000019_gtFine_labelIds.png,train,133565,877165,671867,46880,292508,4426,70080,661
..\data\leftImg8bit\train\aachen\aachen_000094_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000094_000019_gtFine_labelIds.png,train,159709,822267,940260,80404,14571,32608,28741,18592
..\data\leftImg8bit\train\aachen\aachen_000095_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000095_000019_gtFine_labelIds.png,train,162196,718199,970483,6242,23205,30031,16181,170615
..\data\leftImg8bit\train\aachen\aachen_000096_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000096_000019_gtFine_labelIds.png,train,123484,735305,588630,22929,305130,9777,0,311897
..\data\leftImg8bit\train\aachen\aachen_000097_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000097_000019_gtFine_labelIds.png,train,246344,820558,763848,22154,168745,48020,24335,3148
..\data\leftImg8bit\train\aachen\aachen_000098_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000098_000019_gtFine_labelIds.png,train,132585,905139,954325,30119,9931,0,34895,30158
..\data\leftImg8bit\train\aachen\aachen_000099_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000099_000019_gtFine_labelIds.png,train,217563,661844,543967,40671,246727,62531,7409,316440
..\data\leftImg8bit\train\aachen\aachen_000100_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000100_000019_gtFine_labelIds.png,train,119648,906983,739595,17682,166527,0,19799,126918
..\data\leftImg8bit\train\aachen\aachen_000101_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000101_000019_gtFine_labelIds.png,train,150900,912540,753012,27338,106220,13318,34893,98931
..\data\leftImg8bit\train\aachen\aachen_000102_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000102_000019_gtFine_labelIds.png,train,241011,791383,825508,32947,8260,26743,3667,167633
..\data\leftImg8bit\train\aachen\aachen_000103_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000103_000019_gtFine_labelIds.png,train,185107,919394,764860,24575,13250,18319,4916,166731
..\data\leftImg8bit\train\aachen\aachen_000104_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000104_000019_gtFine_labelIds.png,train,178487,792441,766492,33121,58151,30427,0,238033
..\data\leftImg8bit\train\aachen\aachen_000105_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000105_000019_gtFine_labelIds.png,train,162760,916017,717145,68085,116479,0,8124,108542
..\data\leftImg8bit\train\aachen\aachen_000106_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000106_000019_gtFine_labelIds.png,train,175181,839560,347445,15807,402337,25974,6214,284634
..\data\leftImg8bit\train\aachen\aachen_000107_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000107_000019_gtFine_labelIds.png,train,173444,926201,449068,19196,413349,4963,37070,73861
..\data\leftImg8bit\train\aachen\aachen_000108_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000108_000019_gtFine_labelIds.png,train,183303,808463,657654,12153,200426,14100,28640,192413
..\data\leftImg8bit\train\aachen\aachen_000109_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000109_000019_gtFine_labelIds.png,train,366443,673850,320633,166205,300313,0,128302,141406
..\data\leftImg8bit\train\aachen\aachen_000110_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000110_000019_gtFine_labelIds.png,train,234761,737521,211934,12812,610638,11680,6505,271301
..\data\leftImg8bit\train\aachen\aachen_000111_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000111_000019_gtFine_labelIds.png,train,175627,1014261,506502,36343,269271,15651,53791,25706
..\data\leftImg8bit\train\aachen\aachen_000112_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000112_000019_gtFine_labelIds.png,train,125389,688276,877883,12880,3601,56064,583,332476
..\data\leftImg8bit\train\aachen\aachen_000113_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000113_000019_gtFine_labelIds.png,train,123290,862107,987914,20339,33479,0,19477,50546
..\data\leftImg8bit\train\aachen\aachen_000114_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000114_000019_gtFine_labelIds.png,train,189247,625398,726620,14998,44359,0,426247,70283
..\data\leftImg8bit\train\aachen\aachen_000115_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000115_000019_gtFine_labelIds.png,train,147141,949247,249528,60328,458646,0,4602,227660
..\data\leftImg8bit\train\aachen\aachen_000116_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000116_000019_gtFine_labelIds.png,train,119261,800629,873001,15830,59754,0,190390,38287
..\data\leftImg8bit\train\aachen\aachen_000117_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000117_000019_gtFine_labelIds.png,train,224420,961674,397979,29674,269754,80884,22788,109979
..\data\leftImg8bit\train\aachen\aachen_000118_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000118_000019_gtFine_labelIds.png,train,255534,889304,312572,148855,370617,32873,80030,7367
..\data\leftImg8bit\train\aachen\aachen_000119_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000119_000019_gtFine_labelIds.png,train,142899,837161,409402,42218,323889,82018,8437,251128
..\data\leftImg8bit\train\aachen\aachen_000120_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000120_000019_gtFine_labelIds.png,train,123781,958670,272731,24880,578876,36937,8666,92611
..\data\leftImg8bit\train\aachen\aachen_000121_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000121_000019_gtFine_labelIds.png,train,133344,866687,649932,22470,341279,59757,10197,13486
..\data\leftImg8bit\train\aachen\aachen_000122_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000122_000019_gtFine_labelIds.png,train,186603,804667,476908,33646,216210,54406,809,323903
..\data\leftImg8bit\train\aachen\aachen_000123_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000123_000019_gtFine_labelIds.png,train,114966,787314,744226,8645,52904,53016,123,335958
..\data\leftImg8bit\train\aachen\aachen_000124_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000124_000019_gtFine_labelIds.png,train,115392,787597,740558,9253,105533,28185,0,310634
..\data\leftImg8bit\train\aachen\aachen_000125_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000125_000019_gtFine_labelIds.png,train,115035,743184,705560,27291,47850,90650,3423,364159
..\data\leftImg8bit\train\aachen\aachen_000126_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000126_000019_gtFine_labelIds.png,train,121795,966651,735676,37769,171883,17853,2830,42695
..\data\leftImg8bit\train\aachen\aachen_000127_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000127_000019_gtFine_labelIds.png,train,136178,869860,763804,65081,21146,113813,37529,89741
..\data\leftImg8bit\train\aachen\aachen_000128_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000128_000019_gtFine_labelIds.png,train,142427,955231,704743,23664,72689,102814,29723,65861
..\data\leftImg8bit\train\aachen\aachen_000129_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000129_000019_gtFine_labelIds.png,train,166047,874705,518040,47452,266429,0,20557,203922
..\data\leftImg8bit\train\aachen\aachen_000130_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000130_000019_gtFine_labelIds.png,train,314324,550486,400666,4825,350327,43565,0,432959
..\data\leftImg8bit\train\aachen\aachen_000131_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000131_000019_gtFine_labelIds.png,train,136000,916678,517829,21380,259047,52974,10283,182961
..\data\leftImg8bit\train\aachen\aachen_000132_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000132_000019_gtFine_labelIds.png,train,125409,856440,77637,64342,625639,119555,19298,208832
..\data\leftImg8bit\train\aachen\aachen_000133_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000133_000019_gtFine_labelIds.png,train,137145,836094,660953,88560,155367,4576,6042,208415
..\data\leftImg8bit\train\aachen\aachen_000134_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000134_000019_gtFine_labelIds.png,train,115282,537806,614219,1968,197635,20304,500,609438
..\data\leftImg8bit\train\aachen\aachen_000135_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000135_000019_gtFine_labelIds.png,train,125656,753108,140872,6854,841907,7986,363,220406
..\data\leftImg8bit\train\aachen\aachen_000136_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000136_000019_gtFine_labelIds.png,train,217402,573771,336609,1905,455127,18068,5890,488380
..\data\leftImg8bit\train\aachen\aachen_000137_000019_leftImg8bit.png,..\data\gtFine\train\aachen\aachen_000137_000019_gtFine_labelIds.png,train,117909,720452,400616,2261,648253,44160,2688,160813
